ticker,beta,sharpe_ratio,last_updated
ADANIENT.NS,1.7907,-0.3375,2026-03-29 18:01:12.249
ADANIPORTS.NS,1.7313,0.4861,2026-03-29 18:01:12.249
ADANIPOWER.NS,1.4025,0.7986,2026-03-29 18:01:12.249
APOLLOHOSP.NS,0.6713,0.5677,2026-03-29 18:01:12.249
ASIANPAINT.NS,0.6755,-0.8706,2026-03-29 18:01:12.249
AXISBANK.NS,1.11,0.2151,2026-03-29 18:01:12.249
BAJAJ-AUTO.NS,0.9131,0.9128,2026-03-29 18:01:12.249
BAJAJFINSV.NS,1.1175,0.0476,2026-03-29 18:01:12.249
BAJFINANCE.NS,1.1337,0.1513,2026-03-29 18:01:12.249
BHARTIARTL.NS,0.8354,1.2014,2026-03-29 18:01:12.249
BPCL.NS,1.2626,0.7344,2026-03-29 18:01:12.249
BRITANNIA.NS,0.432,0.1903,2026-03-29 18:01:12.249
CIPLA.NS,0.5449,-0.1499,2026-03-29 18:01:12.249
COALINDIA.NS,1.1286,1.0642,2026-03-29 18:01:12.249
DIVISLAB.NS,0.6682,0.6344,2026-03-29 18:01:12.249
DRREDDY.NS,0.6093,-0.0569,2026-03-29 18:01:12.249
EICHERMOT.NS,1.0184,0.991,2026-03-29 18:01:12.249
GRASIM.NS,1.0772,0.4735,2026-03-29 18:01:12.249
HCLTECH.NS,0.8493,0.2128,2026-03-29 18:01:12.249
HDFCBANK.NS,0.998,-0.3084,2026-03-29 18:01:12.249
HEROMOTOCO.NS,0.9153,0.84,2026-03-29 18:01:12.249
HINDALCO.NS,1.1934,0.8046,2026-03-29 18:01:12.249
HINDUNILVR.NS,0.4213,-0.606,2026-03-29 18:01:12.249
ICICIBANK.NS,0.9164,0.2904,2026-03-29 18:01:12.249
INDUSINDBK.NS,1.0825,-0.6631,2026-03-29 18:01:12.249
INFY.NS,0.8638,-0.2169,2026-03-29 18:01:12.249
ITC.NS,0.5819,-0.9062,2026-03-29 18:01:12.249
JIOFIN.NS,1.3642,-0.1173,2026-03-29 18:01:12.249
JSWSTEEL.NS,1.3083,0.4125,2026-03-29 18:01:12.249
KOTAKBANK.NS,0.9128,-0.1313,2026-03-29 18:01:12.249
LICI.NS,1.1508,0.1589,2026-03-29 18:01:12.249
LT.NS,1.3372,0.329,2026-03-29 18:01:12.249
M&M.NS,1.3178,0.8466,2026-03-29 18:01:12.249
MARUTI.NS,0.8668,0.3134,2026-03-29 18:01:12.249
NESTLEIND.NS,0.5471,-0.048,2026-03-29 18:01:12.249
NTPC.NS,1.2194,0.7715,2026-03-29 18:01:12.249
ONGC.NS,1.2167,0.7288,2026-03-29 18:01:12.249
POWERGRID.NS,1.0495,0.714,2026-03-29 18:01:12.249
RELIANCE.NS,1.1077,-0.0922,2026-03-29 18:01:12.249
SBILIFE.NS,0.8021,0.4481,2026-03-29 18:01:12.249
SUNPHARMA.NS,0.5623,0.7133,2026-03-29 18:01:12.249
TATASTEEL.NS,1.4337,0.6443,2026-03-29 18:01:12.249
TCS.NS,0.7335,-0.7505,2026-03-29 18:01:12.249
TECHM.NS,0.8943,0.1587,2026-03-29 18:01:12.249
TITAN.NS,0.7861,0.2626,2026-03-29 18:01:12.249
ULTRACEMCO.NS,1.1165,0.3365,2026-03-29 18:01:12.249
WIPRO.NS,0.9863,-0.1479,2026-03-29 18:01:12.249
